"FARM_NO","YEAR","COMPANY","AREA_GRP","FARM_LEVEL","UPDOWN","MSY","PSY","S_MODON","BING","BDAY","C_BDAY","D_BDAY","E_BDAY","F_BDAY","G_BDAY","BUNMAN_GIGAN","BUNMAN_RATIO","CHONGSAN_AVG","SILSAN_AVG","MILA_AVG","SASAN_AVG","EUDUSU_AVG","POU_AVG","JAGI_AVG","ZAEGI7_RATIO","DIE_SANCHA","CHO_GYOBAE","AVG_SANCHA"
"820","2012",피그플랜,"010007","180003","3",0,21,208,2.24,67.4,14.6,15.5,31.8,2.1,3.4,116.4,73.6,10.7,10,0.1,0.7,9.4,19.3,9.8,"72.6","2.4",256,"2.7"
"1713","2012",피그플랜,"010001","180003","3",0,22.7,273,2.51,20.1,12.3,0.1,7.6,0.1,0,114.4,94.8,10.8,10.1,0.2,0.5,9.1,24.6,5.4,"95.7","1.5",263,"7.1"
"848","2012",피그플랜,"010002","180006","3",16.5,23.3,529,2.41,26.3,11.9,1.9,12,0.5,0,114.1,89.8,12.1,11.1,0.3,0.7,9.7,26.3,5.5,"94.8","6.5",250,"7.9"
"2212","2012",피그플랜,"010002","180006","3",0,23.7,722,2.43,29.6,14,1.9,11.3,1.7,0.7,114.3,86.6,12,11.1,0.2,0.7,9.8,24.5,6.8,"90.1","7.2",254,"7.1"
"1239","2012",피그플랜,"010002","180002","2",0,26.6,174,2.42,22.3,13.1,1.8,7.4,0,0,115.5,92.1,13.1,12.4,0,0.7,11,26.7,6.3,"88.1","5.6",243,"6.3"
"1859","2012",피그플랜,"010004","180006","3",0,24.8,619,2.33,36.5,15.4,3.5,15,2,0.6,114,85.7,11,11,0,0,10.6,26.9,7.7,"88.4","5.1",243,"4.5"
"2303","2012",피그플랜,"010003","180003","4",0,19.7,245,2.2,65.3,15.9,8.3,40.9,0.3,0,114.7,75.5,10.9,10.3,0,0.6,8.9,22.8,8.2,"87.5","1.3",243,"3.1"
"1957","2012",피그플랜,"010002","180003","3",17.4,22.8,249,2.3,44.2,14.8,0.6,23.6,3.1,2.1,115.6,82.2,11.6,10.9,0.1,0.6,9.9,25.4,9.5,"79.7","4.2",224,"5.4"
"126","2012",피그플랜,"010002","180006","2",20.6,25.8,811,2.45,33.3,15.7,1.2,15.6,0.8,0.1,114.7,85.1,12,11.4,0.3,0.3,10.5,20.8,7.3,"91","5.8",247,"6.2"
"2445","2012",피그플랜,"010002","180004","3",22,23.7,309,2.34,38.7,13.5,3.1,20.2,1.3,0.6,115,84.5,11.8,10.9,0,0.8,10.1,24.4,6.5,"93.5","6.9",212,"7.3"
"1702","2012",피그플랜,"010002","180005","3",0,21.7,465,2.36,40.4,14.2,6.1,19.6,0.5,0,114.5,81.6,11,10.2,0.1,0.7,9.2,23.2,7,"91.9","8.2",255,"5.6"
"1139","2012",피그플랜,"010002","180003","3",19.1,21.6,217,2.3,42.2,13.7,2.2,25.1,0.5,0.8,115.8,74.9,11.4,10.6,0,0.9,9.4,24.6,6.7,"93.5","3.9",243,"3.7"
"2360","2012",피그플랜,"010006","180003","3",0,23.6,233,2.33,35.9,23.3,0,11.7,0.8,0,114.4,90.3,12.7,11.3,1,0.4,10.1,27,10.1,"86.8","1.4",259,"2.5"
"1776","2012",피그플랜,"010002","180003","3",0,22.6,282,2.34,31.9,14,1.1,15.9,0.9,0,115.6,82.5,11.6,10.5,0.4,0.7,9.6,26,6.8,"89.2","7.8",246,"7"
"1895","2012",피그플랜,"010004","180001","3",0,20.2,68,2.35,33.6,12.4,2.6,16.5,1.6,0.5,114.3,61.9,11.7,11.2,0,0.5,8.6,25.7,5.8,"94","2.4",243,"4.3"
"2109","2012",피그플랜,"010005","180003","4",0,18.9,203,2.01,97.5,12.3,18.3,63,3.9,0,114.7,69.4,10.8,10.4,0,0.4,9.4,26.2,7.9,"89.6","5.6",252,"6.1"
"1002","2012",피그플랜,"010003","180007","5",0,15.1,"1,877",1.95,96.1,21.8,5.6,65.8,2,0.9,116.1,66.5,9.2,8.3,0.4,0.5,7.8,21.2,11.9,"59.6",.9,240,"6"
"2002","2012",피그플랜,"010009","180006","4",0,19.6,580,2.35,36.3,12.5,1.3,22.3,0.2,0,115.6,77.3,9.6,8.6,0,0.9,8.3,24.2,6.3,"91.6","4.3",245,"5.2"
"24","2012",피그플랜,"010003","180007","3",0,22.7,"1,031",2.32,36,17.2,2.8,14.9,0.8,0.3,115.8,89.2,11.2,10.1,0.4,0.6,9.8,26.4,8.5,"80.9","5.3",263,"6.9"
"2211","2012",피그플랜,"010009","180006","3",0,20.7,527,2.1,65.5,22.5,6.6,34.5,1.8,0.1,114.9,72.2,11.5,10.8,0,0.6,9.9,27.4,12.1,"53.8","4.4",246,"6.3"
"852","2012",피그플랜,"010001","180007","3",0,24,"1,081",2.38,31,14.9,0.9,13.4,1.2,0.6,115.1,85.6,11.8,11.2,0.2,0.3,10.1,25.6,7.4,"88.1","6.6",259,"7"
"2012","2012",피그플랜,"010008","180002","3",19,20.2,146,2.32,35.5,12.1,2.4,17.4,1.8,1.9,114.8,71.2,12,11.5,0.1,0.4,8.7,27.2,6.2,"93.8","6.1",262,"7.4"
"1207","2012",피그플랜,"010004","180003","3",19.4,21.4,266,2.3,40.7,9.7,0.1,26.8,2,2.1,114.9,79.2,11.8,10.2,0.3,1.4,9.3,26,5.1,"97.6","6.3",240,"5.6"
"1971","2012",피그플랜,"010009","180003","4",0,19,282,2.2,57,14.5,3.6,38.5,0.1,0.4,116.1,66.7,10.4,10,0,0.4,8.6,23.6,7.4,"89","4.2",243,
"1975","2012",피그플랜,"010005","180004","1",17.6,27.3,327,2.48,31,12.6,0.7,14.3,3.3,0,113.8,90.7,12.5,11.7,0.1,0.6,11,21.1,6.1,"92.1","3.9",228,"5.8"
"917","2012",피그플랜,"010008","180003","4",0,18.8,209,2.08,74.6,14.1,3.8,39.5,12.6,4.5,115.3,64.9,10.3,9.8,0,0.5,9.1,25.9,7.8,"88.9","5",243,"6.3"
"2686","2012",피그플랜,"010001","180004","3",0,23,398,2.34,38.6,13.7,0.3,24.6,0,0,114.2,76.6,11.4,10.2,0.4,0.8,9.8,27.4,6.2,"88.8","1.3",261,"3.6"
"2044","2012",피그플랜,"010002","180002","3",0,23.5,150,2.36,27.8,14,1.1,9.3,2.3,1.1,115.6,87,11.7,10.7,0,0.9,9.9,28.2,7.5,"86.6","4.5",243,"6.3"
"1203","2012",피그플랜,"010008","180002","3",0,20,187,2.3,53.7,20.7,0.4,32.2,0.3,0,115.9,80.5,10.7,9.7,0,1.1,8.7,21.7,10.5,"80.5","0",186,"4.3"
"1901","2012",피그플랜,"010006","180007","3",0,22.8,"2,853",2.35,32.2,14.5,3.7,12.3,0.9,0.8,114.9,89.4,10.9,10.3,0.1,0.5,9.7,27.2,6.9,"84.5","5.9",244,"5.7"
