"YEAR","REGION","SCALE","PSY","상시모돈","모돈회전율","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","임신기간","분만율","평균총산","평균실산","평균미라","평균사산","평균이유두수","포유기간","재귀발정일","재귀율_7일_이내","평균도폐산차","최초교배일령","모돈평균산차"
2009,10007,180003,18.5,210,2.14,62.3,20,5.5,25.8,7.1,3.8,115,78.5,10.2,9.8,0,0.4,8.7,27.1,9.8,86.8,4.8,201,5.6
2009,10001,180003,19.3,268,2.26,50,12.6,2.1,33.1,1.9,0.4,114.2,82.4,11.4,10.6,0.2,0.6,8.5,24.1,6.3,88.4,4.8,257,4.6
2009,10004,180007,20.5,1041,2.19,55,12.4,6,27.6,4.4,4.6,115.8,79,11.2,10.1,0.1,1,9.4,26,7.3,86.4,3.9,256,5.3
2009,10007,180007,23.3,2262,2.44,32.8,15.5,2.5,14.8,0,0.1,116.5,89.4,11.4,10.2,0.2,1,9.5,19.4,7.2,89,7.3,264,7.3
2009,10004,180006,22.9,931,2.31,36.2,10.8,1.7,18,3.7,2,115.6,85.5,11.8,10.6,0.2,1,9.9,26.9,5.7,92.6,4.9,255,5.8
2009,10002,180002,22.4,125,2.34,43.8,14.8,3.9,16.5,6.1,2.6,114.5,81,11.1,10.4,0,0.6,9.6,26.2,8,84,6.6,240,7.9
2009,10002,180006,23.1,843,2.38,32.9,15.1,0.9,12.4,3.8,0.6,115.3,85.2,11.4,10.1,0.3,0.9,9.7,24.7,7,89.6,6,269,7.3
2012,10002,180002,18.3,150,2.17,62.5,16.6,1.5,36.1,7,1.3,115.9,63.6,10.9,10.7,0,0.2,8.4,25.1,7,91.1,4.8,249,6.7
2012,10006,180003,24.1,293,2.43,28.3,14.4,1.4,12.2,0.3,0,115.4,89,12.8,11.9,0.1,0.8,10,24,6.8,85.5,6.5,243,5.7
2012,10002,180007,25.1,2904,2.4,32.4,16,1,13.1,1.6,0.7,114.9,85.3,12.1,11.3,0.4,0.4,10.5,23.9,8.2,87.7,5.4,266,6
2012,10005,180002,19.2,141,2.14,57.6,15.6,6.3,33.5,1.9,0.4,116.2,69.6,11.9,10.7,0,1.2,9,26.9,8,82.1,6.2,217,7.2
2012,10007,180002,24.8,163,2.39,31.1,11.3,3.2,16.6,0,0,116.8,82.4,11.9,10.9,0,0.9,10.4,23.1,6,88.7,5.8,247,3.6
2012,10002,180003,25.2,260,2.43,21.4,13.3,1.3,6.9,0,0,115.3,92.4,11.2,10.8,0,0.4,10.4,26.1,6.6,86.9,6.2,243,6.7
2012,10001,180002,23.5,142,2.22,50.8,22.2,5.7,23,0,0,115.3,86.2,12.4,11.4,0,1,10.6,25.6,10.9,78.6,2.9,233,6.6
2012,10001,180006,19.5,922,2.32,39.9,16.1,3.1,18.4,1,1.3,115.8,85.7,10.7,10.1,0.2,0.3,8.4,24.3,7.9,81.4,5.2,253,6.6
2012,10001,180003,20.2,284,2.37,41,12.5,2.1,23.7,2.4,0.2,115,72.1,11.2,9.6,0.5,1.1,8.5,22.2,6.2,91.2,1,243,5.5
